headword_english,pos_raw,definition_raw,source_image,source_text,decision,notes
"Brawl","v.","tséko, mofere-fere.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_left.png","page_029_left.txt","",""
"Bray","v.","ho Ma ha esélé.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_left.png","page_029_left.txt","",""
"Breach","n.","sekheo. |","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_left.png","page_029_left.txt","",""
"Break","v.","(to cause to break) ho roba, pshatla, roba-","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_left.png","page_029_left.txt","",""
"Breast","n.","sefuba, letauele.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_left.png","page_029_left.txt","",""
"Breath","a.","pululo, phefoma.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_left.png","page_029_left.txt","",""
"Breathe","v.","ho phefumoloha.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_left.png","page_029_left.txt","",""
"Breatning-time","n.","ho ntia le-tSuea,","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_right.png","page_029_right.txt","",""
"Breeches","n.","plur. marikhue.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_right.png","page_029_right.txt","",""
"Breed","v.","(to generate) ho tsuala (ha ho buona ka liphoofolo feéla); (to ocrasim) ho hlahisa, tsosa.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_right.png","page_029_right.txt","",""
"Breeze","n.",", moéa o fokang ha-_sesane.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_right.png","page_029_right.txt","",""
"Brew","v.","ho rathdla, ritéla.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_right.png","page_029_right.txt","",""
"Brick","n.","lekote, setene.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_right.png","page_029_right.txt","",""
"Bride","n.","monyaluoa.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_right.png","page_029_right.txt","",""
"Bridegroom","n.","monyali.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_right.png","page_029_right.txt","",""
"Bridge","n.","brogo.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_right.png","page_029_right.txt","",""
"Bridle","n.","tomo, mohala, se-qaléka; v. ho kenya tomo.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_right.png","page_029_right.txt","",""
"Bright","adj.","(shining) e kho-","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_right.png","page_029_right.txt","",""
"Brim","n.","(of a pot) morumo; (of a hat) lepéno.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_right.png","page_029_right.txt","",""
"Brimful","adj.","e khapataé-hang.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_right.png","page_029_right.txt","",""
"Bring","ve.","ho thsa; lo breng","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_029_right.png","page_029_right.txt","",""
"Brink","vw.","Vintsi.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_left.png","page_030_left.txt","",""
"Brisk","adj.","© mafél6-f516, e hlaha.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_left.png","page_030_left.txt","",""
